Time (NPT),Temperature (Celsius),Relative Humidity,col3,col4,col5,col6,col7,Weather,Precipitation,Missing
2026-04-26 09:00:00,-0.304,0.43,71.89,3.832,4.221,NAN,NAN,,0.0,False
2026-04-26 10:00:00,-0.477,0.05,82.0,6.109,6.22,NAN,NAN,,2.3,False
2026-04-26 11:00:00,,,,,,,,,0.0,True
2026-04-26 12:00:00,,,,,,,,,0.0,True
2026-04-26 13:00:00,,,,,,,,,0.0,True
2026-04-26 14:00:00,,,,,,,,,0.0,True
2026-04-26 15:00:00,,,,,,,,,0.0,True
2026-04-26 16:00:00,,,,,,,,,0.0,True
2026-04-26 17:00:00,,,,,,,,,0.0,True
2026-04-26 18:00:00,,,,,,,,,0.0,True
2026-04-26 19:00:00,,,,,,,,,0.0,True
2026-04-26 20:00:00,,,,,,,,,0.0,True
2026-04-26 21:00:00,,,,,,,,,0.0,True
2026-04-26 22:00:00,,,,,,,,,0.0,True
2026-04-26 23:00:00,,,,,,,,,0.0,True
2026-04-27 00:00:00,,,,,,,,,0.0,True
2026-04-27 01:00:00,,,,,,,,,0.0,True
2026-04-27 02:00:00,,,,,,,,,0.0,True
2026-04-27 03:00:00,,,,,,,,,0.0,True
2026-04-27 04:00:00,1.205,1.15,20.86,13.88,13.83,NAN,NAN,,0.0,False
2026-04-27 05:00:00,2.261,2.4,22.32,12.94,13.16,NAN,NAN,,0.0,False
2026-04-27 06:00:00,3.114,3.12,19.25,13.33,13.38,NAN,NAN,,0.4,False
2026-04-27 07:00:00,4.293,4.45,21.01,12.44,13.38,NAN,NAN,,0.0,False
2026-04-27 08:00:00,4.579,4.37,17.5,10.16,9.88,NAN,NAN,,0.0,False
2026-04-27 09:00:00,5.236,4.66,17.76,9.0,9.33,NAN,NAN,,0.0,False
2026-04-27 10:00:00,3.585,4.03,61.52,8.22,8.16,NAN,NAN,,0.0,False
2026-04-27 11:00:00,1.37,1.79,77.71,7.164,7.164,NAN,NAN,,0.0,False
2026-04-27 12:00:00,,,,,,,,,0.0,True
2026-04-27 13:00:00,,,,,,,,,0.0,True
2026-04-27 14:00:00,,,,,,,,,0.0,True
2026-04-27 15:00:00,,,,,,,,,0.0,True
2026-04-27 16:00:00,,,,,,,,,0.0,True
2026-04-27 17:00:00,3.322,3.6,37.34,4.516,4.574,0,NAN,,0.0,False
2026-04-27 18:00:00,4.155,4.57,40.13,7.19,7.423,0,NAN,,2.7,False
2026-04-27 19:00:00,5.481,6.11,40.47,7.481,7.714,0,NAN,,0.3,False
2026-04-27 20:00:00,2.805,2.84,63.93,10.04,9.98,0,NAN,,2.6,False
2026-04-27 21:00:00,2.872,2.79,61.71,9.34,8.99,0,NAN,,0.0,False
2026-04-27 22:00:00,2.475,2.3,63.79,9.46,9.34,0,NAN,,0.1,False
2026-04-27 23:00:00,,,,,,,,,0.0,True
2026-04-28 00:00:00,,,,,,,,,0.0,True
2026-04-28 01:00:00,,,,,,,,,0.0,True
2026-04-28 02:00:00,,,,,,,,,0.0,True
2026-04-28 03:00:00,,,,,,,,,0.0,True
2026-04-28 04:00:00,,,,,,,,,0.0,True
2026-04-28 05:00:00,,,,,,,,,0.0,True
2026-04-28 06:00:00,,,,,,,,,0.0,True
2026-04-28 07:00:00,,,,,,,,,0.0,True
2026-04-28 08:00:00,,,,,,,,,0.0,True
2026-04-28 09:00:00,,,,,,,,,0.0,True
2026-04-28 10:00:00,,,,,,,,,0.0,True
2026-04-28 11:00:00,0.195,0.39,74.92,6.493,6.435,0,NAN,,0.0,False
2026-04-28 12:00:00,-0.452,-0.34,81.6,7.249,7.365,0,NAN,,0.8,False
2026-04-28 13:00:00,,,,,,,,,0.0,True
2026-04-28 14:00:00,,,,,,,,,0.0,True
2026-04-28 15:00:00,-3.018,-2.48,92.9,1.726,1.842,0,NAN,,0.0,False
